# Small Gset-like benchmark: 20 nodes
0 1 2
0 2 6
0 4 6
0 6 4
0 9 6
0 10 1
0 13 4
0 14 5
0 19 3
1 2 4
1 3 8
1 4 6
1 5 4
1 6 1
1 7 3
1 10 9
1 11 5
1 12 5
1 13 5
1 14 9
1 17 4
2 6 7
2 7 2
2 8 6
2 10 5
2 14 3
2 16 7
2 17 2
2 18 2
3 4 5
3 6 5
3 7 6
3 13 3
3 14 6
3 16 5
3 17 8
3 18 4
4 5 8
4 7 9
4 10 1
4 11 6
4 13 3
4 14 5
4 15 8
4 16 2
4 17 2
4 18 2
5 7 7
5 9 3
5 11 6
5 12 2
5 14 4
5 17 8
6 9 1
6 12 2
6 13 2
6 14 3
6 17 2
7 8 4
7 9 7
7 10 7
7 14 2
7 16 8
7 18 9
7 19 6
8 9 3
8 11 2
8 14 2
8 15 6
8 17 5
8 18 9
9 10 3
9 11 9
9 13 2
9 14 2
9 15 1
9 19 3
10 13 4
10 16 2
11 16 9
11 18 1
11 19 6
13 16 2
13 18 5
14 17 2
14 19 8
15 16 7
15 17 5
15 18 2
16 19 8
17 18 9
17 19 7
18 19 9
